,value,category
1248, i need a return flight from chicago to kansas city leaving chicago around 7 in the evening on the day following next wednesday,travel
1249, i would like the fare on the us air 1039 from denver to pittsburgh on april twenty,travel
1250, what is the cheapest way to travel round trip from milwaukee to san francisco,travel
1251, what're the lowest one way fares from denver to atlanta,travel
1252, what flights are there from pittsburgh to san francisco on friday,travel
1253, flights from la guardia to jfk,travel
1254, please show me the return flight number from toronto to st. petersburg,travel
1255, find me the earliest boston departure for atlanta and the lastest return trip from atlanta so that i can be in atlanta the longest amount of time but return to boston the same day,travel
1256, an american airlines flight first class from philadelphia to dallas,travel
1257, list the flights from houston to st. paul,travel
1258, i would like to see the economy fares for denver to philadelphia,travel
1259, what are the flights from kansas city to burbank on saturday may twenty two on america west,travel
1260, flights from st. paul to houston,travel
1261, show me the aircraft that canadian airlines uses,travel
1262, which airlines have flights from san francisco to washington by way of indianapolis,travel
1263, are there any flights from boston to san francisco which stop in washington dc,travel
1264, all flights from boston to washington dc on november eleventh before 10 am,travel
1265, denver to philadelphia monday,travel
1266, nonstop flights denver to kansas city,travel
1267, i would like direct coach flights from pittsburgh to atlanta,travel
1268, what flights are there arriving in chicago on continental after 11 pm,travel
1269, can you list all nonstop flights departing from st. petersburg and arriving in charlotte,travel
1270, what is the type of aircraft for united flight 21,travel
1271, can you tell me about flights from san jose to nashville on saturday afternoon,travel
1272, please give me flights available from denver to philadelphia,travel
1273, round trip air fares from baltimore to philadelphia less than 1000 dollars,travel
1274, dallas to oakland saturday,travel
1275, what aircraft is used on delta flight 1222 from kansas city to salt lake city,travel
1276, i need to go from philadelphia to dallas,travel
1277, how many flights does american airlines have from boston to atlanta,travel
1278, only show continental flights,travel
1279, what is restriction ap 80,travel
1280, oakland to denver,travel
1281, show me flights between new york city and las vegas on sunday,travel
1282, can you tell me the flights on october fifteenth 1991 from boston to oakland,travel
1283, what flights from chicago to denver in the morning,travel
1284, what are the flights from washington dc to denver,travel
1285, i would like an evening flight from pittsburgh to los angeles on june third,travel
1286, from las vegas to phoenix departing in the morning,travel
1287, flights from milwaukee to phoenix on saturday or sunday american airlines,travel
1288, flights from boston to pittsburgh,travel
1289, i'm looking for ground transportation in dallas,travel
1290, is there a flight from atlanta to san francisco that stops over in denver,travel
1291, what is the earliest flight between boston and washington,travel
1292, first class american flight from philadelphia to dallas on wednesday,travel
1293, i'd need information please on a flight from washington dc san francisco california,travel
1294, i'd like flight information between boston and washington september third,travel
1295, list daily flights from atlanta to denver,travel
1296, all flights from baltimore to philadelphia less than 1000 dollars,travel
1297, show me the flights from san francisco to boston on august thirty first,travel
1298, show flights between boston and philadelphia,travel
1299, what limousine service is in boston,travel
